brand,units_sold,net_sales,profit,avg_rating,orders,profit_margin_pct
3M,6391,779757.27,407912.23,3.5821594684385385,2984,52.31271905935549
Adidas,12936,2806862.1,1205493.79,3.5764793143233886,5967,42.94809460001615
Apple,4988,3139377.32,1131352.58,3.667247386759582,2282,36.037483382214155
Arm & Hammer,2410,240496.47,105097.05,3.100630630630631,1107,43.70003850784172
Asus,4985,4831788.72,1615392.91,3.3507030251384746,2338,33.43260650685074
Audible,5023,262593.03,147553.58,3.5606315789473686,2361,56.19097353802574
Avery,7829,1405031.14,725069.03,3.5129196884233145,3680,51.60519289273546
Baby Einstein,7116,1223383.68,674514.82,3.8470065204505035,3340,55.13518212046118
Bandai,6525,485623.39,258115.3,3.3909851899549257,3074,53.15133194058054
Barbie,4871,405852.24,186661.45,4.144605543710021,2331,45.99246513952961
Benefit,6601,587942.4,318610.89,3.757119688614986,3061,54.190834000065315
Bic,4346,862576.41,445371.0,3.471282798833819,2040,51.63264318809738
Blue Buffalo,7156,796823.39,374993.17,3.7708246501935103,3326,47.06101436103676
Bosch,9424,2712415.62,1059175.04,3.2584048802530505,4364,39.04914247618144
Braun,6445,1088169.07,483335.15,3.3265856063095627,3018,44.41728434718329
Bridgestone,7034,1964749.14,843737.21,3.6129948624962225,3284,42.94376278490189
Britax,5074,771730.45,405468.71,3.7955027577428937,2338,52.54019845919
Bvlgari,2853,1483941.71,492440.67,3.53829468960359,1329,33.184637016503835
CVS Health,5062,787231.77,364349.33,3.2604289318755257,2366,46.282345795063634
Calvin Klein,2100,412191.51,234236.03,3.6679207920792076,1007,56.8269904443204
Cartier,4213,2396770.65,972385.12,3.910768452982811,1966,40.57063699440746
Castrol,10357,2898702.82,1009495.4,3.604014823965411,4772,34.825763891173914
Chicco,6388,1222179.23,582826.53,3.51875203119922,3060,47.68748442894092
Clinique,7225,526712.35,258345.86,3.4999704404374814,3340,49.04875687839862
Coca-Cola,7808,404997.67,225164.08,3.8347849755035384,3631,55.59638898663294
Columbia,7101,2067564.01,954309.8,4.084347571679344,3380,46.156239680337634
Continental,4975,1681868.27,593294.55,3.661682242990654,2333,35.27592264999446
CoverGirl,4435,333650.7,179066.14,3.7608611514271892,2061,53.66874398884822
Crate & Barrel,2748,674355.6,308226.83,3.7278838808250576,1305,45.70686889824894
Cuisinart,5907,2445620.33,1056635.69,3.4746715328467155,2711,43.20522188331661
David Yurman,7731,4466981.48,1836745.77,3.89957127545552,3688,41.11827591458919
Dell,3570,2702716.15,967441.54,3.6388489208633095,1663,35.79515888118699
Dyson,7101,3571670.78,1456892.4,3.4946955997588907,3289,40.79022087248478
Electrolux,6495,2679906.74,1106535.53,3.3207210133160117,3047,41.29007601212272
Estée Lauder,4416,240053.72,131562.37,3.873520853540252,2048,54.80538689423351
Evenflo,5184,1082534.87,455456.72,4.245187601957586,2439,42.07316850680292
Fisher-Price,8845,1361028.44,688926.92,3.4631018630534722,4077,50.618113461317535
Fitbit,4332,553665.99,214487.13,3.4098009950248755,1998,38.739444696612125
Five Star,6360,933426.87,491510.76,3.7286613651424787,2986,52.656590012241665
Forever 21,4484,775849.79,370474.58,3.8481499279192697,2065,47.75081269275074
GNC,5020,878077.5,406573.23,4.012886816447647,2340,46.30265893386404
Garmin,7156,1017204.32,515264.32,3.687507400828893,3345,50.65494806392486
General Mills,5014,277631.78,164039.89,3.285840707964602,2356,59.08541522155713
Gerber,7287,1515346.54,657783.52,3.468066232998226,3352,43.40812498242151
