product_category,product_subcategory,units_sold,gross_sales,net_sales,profit,orders,profit_margin_pct,revenue_rank,profit_rank,rank_gap
Automotive,Batteries,7644,2041298.5,1917723.52,766990.66,3654,39.99485076972931,34.0,41.0,-7.0
Automotive,Car Accessories,8266,2881605.33,2668436.2,1090216.69,3792,40.85601484494926,18.0,22.0,-4.0
Automotive,Car Electronics,9281,2261714.29,2105754.92,809330.95,4335,38.43424238562387,32.0,37.0,-5.0
Automotive,Cleaning,9458,2803789.52,2629994.22,929312.52,4350,35.33515446281095,19.0,29.0,-10.0
Automotive,Maintenance,4220,1328617.24,1237605.38,514437.91,1999,41.5672005239667,54.0,62.0,-8.0
Automotive,Motorcycle Gear,5722,1780481.89,1648178.57,576599.85,2704,34.984064257066514,39.0,55.0,-16.0
Automotive,Tires,7640,2441835.74,2266481.01,936399.36,3585,41.31512048274343,28.0,28.0,0.0
Automotive,Tools,5815,2129950.25,1975724.46,853906.34,2754,43.219910331018525,33.0,33.0,0.0
Baby & Kids,Baby Food,6445,1080657.76,1016951.62,538566.6,3053,52.95892050400588,62.0,58.0,4.0
Baby & Kids,Baby Gear,3722,650248.96,610335.79,323243.19,1731,52.96153286373718,94.0,92.0,2.0
Baby & Kids,Car Seats,6315,1136704.12,1061597.08,524511.31,2944,49.4077574139522,59.0,60.0,-1.0
Baby & Kids,Clothing,4311,958118.51,899502.66,418806.78,2023,46.55981562077871,74.0,76.0,-2.0
Baby & Kids,Diapers,9374,1981128.38,1836838.77,958901.4,4325,52.20389593584199,36.0,27.0,9.0
Baby & Kids,Furniture,6396,1510904.8,1413693.26,762481.79,3024,53.93544777882015,50.0,42.0,8.0
Baby & Kids,Strollers,10386,2046577.7,1900031.56,827198.52,4735,43.536041053970706,35.0,35.0,0.0
Baby & Kids,Toys,6996,1013607.49,951654.86,464438.48,3318,48.8032478497509,68.0,72.0,-4.0
Beauty & Personal Care,Bath & Body,8744,647342.1,627755.71,337473.86,4029,53.75878779342366,92.0,88.0,4.0
Beauty & Personal Care,Deodorants,6325,591715.43,565662.25,323603.88,2964,57.20796818242688,99.0,91.0,8.0
Beauty & Personal Care,Fragrances,10669,1118634.95,1069837.92,533414.2,4967,49.859346918643524,58.0,59.0,-1.0
Beauty & Personal Care,Hair Care,10038,796182.61,767800.49,390290.55,4604,50.83228717397667,81.0,80.0,1.0
