product_category,discount_band,net_sales,profit,orders_count,profit_margin_pct
Automotive,0% (No Discount),1818363.91,926609.73,1242,50.958431637592284
Automotive,1-10%,3260671.44,1564468.08,2411,47.979936304161946
Automotive,11-20%,4594368.0,1978466.43,3425,43.06286370617243
Automotive,21-30%,1842555.8,659559.81,1237,35.79592053602936
Automotive,31-40%,1124934.92,299521.27,711,26.625653153339755
Automotive,41%+,624447.5,68827.17,519,11.022090728203732
Baby & Kids,0% (No Discount),1301785.82,709687.47,1071,54.516454173698094
Baby & Kids,1-10%,2544472.3,1310626.29,2207,51.50876627739277
Baby & Kids,11-20%,3502657.49,1644756.33,3168,46.95738406326449
Baby & Kids,21-30%,1320938.21,540496.5,1140,40.91762172584893
Baby & Kids,31-40%,957332.11,287227.28,691,30.002887921517647
Baby & Kids,41%+,480703.44,81538.27,476,16.962281360000254
Beauty & Personal Care,0% (No Discount),1252512.54,675148.35,1243,53.90352019948639
Beauty & Personal Care,1-10%,2379190.97,1202876.13,2452,50.55820004226057
Beauty & Personal Care,11-20%,3238476.96,1489404.2,3508,45.9908845545716
Beauty & Personal Care,21-30%,1301747.7,505544.42,1286,38.83582202603469
Beauty & Personal Care,31-40%,850816.77,264747.98,757,31.11692074428669
Beauty & Personal Care,41%+,461390.63,65567.63,526,14.210871599191341
Books & Media,0% (No Discount),1308235.26,686577.36,1320,52.481184462189155
Books & Media,1-10%,2303921.91,1154803.11,2631,50.12336160299809
Books & Media,11-20%,3027609.23,1384954.1300000001,3599,45.74415074035166
Books & Media,21-30%,1222113.59,472244.61,1332,38.64162986682768
Books & Media,31-40%,853960.06,249834.92,792,29.256042724059018
Books & Media,41%+,423391.41,62684.57,566,14.80534760967399
Electronics,0% (No Discount),3007560.73,1433371.62,1215,47.658941869479726
Electronics,1-10%,5746579.46,2527751.0100000002,2383,43.987053996117545
Electronics,11-20%,7127813.13,2794116.05,3181,39.20018663564486
Electronics,21-30%,2910815.43,921090.26,1199,31.643719162228024
Electronics,31-40%,1880803.84,387368.65,702,20.59590914063638
Electronics,41%+,1040082.04,18332.850000000002,485,1.762634993677999
Fashion,0% (No Discount),1198276.7,643952.1900000001,966,53.739857413567336
Fashion,1-10%,2246475.17,1138412.99,1970,50.67552070918282
Fashion,11-20%,3023067.62,1417183.48,2888,46.87898711309673
Fashion,21-30%,1285484.74,516539.93,1039,40.18250189418818
Fashion,31-40%,879772.96,270340.45,662,30.728433617691547
Fashion,41%+,481177.64,77105.5,447,16.024331471429136
Grocery,0% (No Discount),1122468.96,608537.98,1193,54.21423680170185
Grocery,1-10%,2100384.56,1065625.58,2357,50.734784491083865
