marketing_channel,orders_count,customers,net_sales,profit,avg_clv,repeat_rate,aov,revenue_per_customer
Affiliate,6848,5981,8827899.78,3805557.93,8989.81351343458,0.9970794392523364,1289.120879088785,1475.9906002340745
Direct,20515,13963,26117885.52,11280316.74,9029.744057031441,0.9980989519863515,1273.1116509870826,1870.5067335099907
Email Marketing,11218,9022,14420446.43,6177791.79,8965.23789445534,0.9976822963095026,1285.4739195935103,1598.364711815562
Facebook Ads,16651,12173,21372470.11,9189184.91,8960.756688487178,0.9977178547834965,1283.5547480631794,1755.7274385936087
Google Ads,20633,13988,26540586.44,11356389.55,8947.581033780836,0.9974797654243203,1286.3173770173994,1897.3825021446955
Instagram,13801,10563,17676446.46,7585410.75,8958.651391203535,0.9979711615100355,1280.809105137309,1673.4305083783017
Organic Search,27742,16778,35658209.46,15313174.3,8946.726813135318,0.9972604714872756,1285.3510727416913,2125.295593038503
Referral,11191,9058,14342124.81,6186481.45,8981.92499240461,0.9970512018586364,1281.5766964525064,1583.3655122543607
TikTok,5437,4888,6980204.0600000005,3011928.49,8970.7464392128,0.9966893507448961,1283.833742872908,1428.028653846154
YouTube,4080,3765,5197990.67,2240159.85,9018.947169117648,0.9990196078431373,1274.0173210784315,1380.608411686587
