month,orders_count,customers,gross_sales,net_sales,discount_amount,profit,returns,cancellations,avg_rating,profit_margin_pct,avg_order_value,return_rate_pct
2021-01,1906,1824,2344486.15,2374415.22,236945.06,1129764.43,114,116,3.655527638190955,47.580744112649334,1245.7582476390348,5.981112277019937
2021-02,1565,1513,1875991.87,1905413.15,185493.88,900452.55,103,98,3.666614785992218,47.257601323891365,1217.5163897763578,6.581469648562301
2021-03,2166,2100,2713084.79,2753256.18,269593.36,1298951.77,156,99,3.6340109890109886,47.1787470935596,1271.1247368421054,7.202216066481995
2021-04,1943,1871,2430889.8,2469384.78,241949.38,1178381.9,123,111,3.6870727159726537,47.71965509563074,1270.91342254246,6.330416881111684
2021-05,2096,2003,2497863.45,2546555.37,240719.71,1219361.44,170,118,3.6655354008191923,47.882777432010045,1214.9596230916031,8.110687022900763
2021-06,2203,2105,2668760.75,2710208.64,265009.37,1292627.89,144,114,3.6501903208265363,47.69477415583768,1230.2354244212438,6.536541080344985
2021-07,2036,1945,3290375.06,2894416.72,717118.93,1143965.61,150,115,3.680285035629454,39.52318275718087,1421.6192141453832,7.367387033398821
2021-08,2474,2360,3165709.22,3220659.48,308193.79,1526095.9,152,136,3.6810211946050098,47.38457789396598,1301.8025383993534,6.143896523848019
2021-09,2134,2056,2812591.35,2720931.59,401450.16,1224683.15,140,138,3.6910935738444195,45.0097001519983,1275.0382333645734,6.560449859418932
2021-10,2324,2216,2953967.29,2991778.7600000002,300804.75,1413407.3800000001,141,142,3.660636079249218,47.24304480321934,1287.3402581755595,6.067125645438899
2021-11,3139,2948,5390547.66,4234660.71,1631080.23,1371164.82,216,185,3.689434984520124,32.379567429382085,1349.0476935329723,6.881172347881491
2021-12,3568,3329,6184158.01,4900970.07,1839093.82,1626795.03,216,239,3.693989813242784,33.19332717328755,1373.5902662556055,6.053811659192825
2022-01,1934,1863,2401904.2,2442770.6,234806.71,1168953.1,118,140,3.6671537484116903,47.85357659045021,1263.066494312306,6.10134436401241
2022-02,1615,1578,1989027.12,2029412.22,194747.41,968538.06,105,87,3.665159377316531,47.72505311907504,1256.6019938080494,6.5015479876160995
2022-03,2126,2030,2645695.1,2682800.73,264689.2,1269999.83,140,146,3.6703810623556583,47.33858224349,1261.9006255879585,6.585136406396989
2022-04,2008,1921,2471795.29,2516740.73,241423.67,1197099.96,138,113,3.6623039806996385,47.56548601651152,1253.356937250996,6.872509960159362
2022-05,2041,1965,2485007.16,2529145.45,247017.38,1211110.7,127,130,3.662186379928315,47.886162498088034,1239.16974522293,6.222439980401764
2022-06,2174,2073,2658256.96,2697622.96,263714.94,1274750.83,146,127,3.6679888268156424,47.25459594990992,1240.856927322907,6.7157313707451705
2022-07,2011,1943,3129794.29,2765292.19,675974.04,1106041.95,133,118,3.6893115942028984,39.997290485241635,1375.0831377424167,6.613625062158131
2022-08,2349,2236,2886866.44,2947796.56,277768.01,1408179.47,169,147,3.6664742917103883,47.77057850966486,1254.91552149851,7.194550872711793
2022-09,2124,2045,2831777.87,2750776.22,397457.17,1238645.19,145,138,3.6940668202764977,45.02893332413641,1295.092382297552,6.8267419962335225
2022-10,2333,2241,2876097.0100000002,2925151.89,283057.38,1393120.46,153,141,3.6653645833333335,47.62557680380829,1253.8156408058294,6.558079725675096
2022-11,3257,3054,5637600.31,4405731.78,1724328.4,1424196.8800000001,212,188,3.685123661867848,32.32600056283953,1352.6962787841574,6.509057414798895
2022-12,3592,3369,5930369.55,4634641.29,1808168.78,1507342.26,239,218,3.7055837563451774,32.5233856448036,1290.2676197104677,6.653674832962138
2023-01,1926,1849,2421040.99,2467972.04,228160.89,1168752.26,125,138,3.6708756345177664,47.35678691076257,1281.397736240914,6.4901349948078915
2023-02,1585,1530,2011132.77,2035382.66,204075.52,959707.9,112,92,3.6954233409610984,47.1512270817911,1284.153097791798,7.066246056782334
2023-03,2134,2048,2639649.55,2700460.99,250843.55,1283258.46,131,130,3.6534896705750977,47.519977690920086,1265.4456373008436,6.138706654170572
2023-04,2040,1957,2450464.05,2495710.7600000002,235016.55,1195307.57,120,154,3.6805389221556886,47.89447515945317,1223.3876274509805,5.88235294117647
2023-05,2054,1963,2526627.45,2555496.97,255508.86000000002,1207713.1,136,112,3.6722713864306784,47.25942210763021,1244.156265822785,6.621226874391431
2023-06,2189,2096,2753167.87,2801712.97,264461.27,1325777.32,166,132,3.6729284903518726,47.32024065977037,1279.9054225673824,7.583371402466881
