product_category,orders_count,returns,return_rate_pct
Automotive,9545,701,7.344159245678365
Baby & Kids,8753,568,6.489203701588027
Beauty & Personal Care,9772,616,6.303724928366762
Books & Media,10240,694,6.777343750000001
Electronics,9165,656,7.157665030005456
Fashion,7972,519,6.510286001003513
Grocery,9126,634,6.947183870260794
Health & Wellness,10210,772,7.561214495592557
Home & Kitchen,8094,572,7.066963182604398
Home Appliances,9136,646,7.070928196147111
Jewelry,8107,558,6.882940668558037
Office Supplies,9504,619,6.513047138047138
Pet Supplies,8638,564,6.5292891873118775
Sports & Outdoors,10560,730,6.912878787878787
Toys & Games,9294,613,6.595653109533033
